樹木番号,樹型級,直径1,直径2,樹高,コメント
2 ,2b,21.5 ,21.2 ,16.4 ,
3 ,1,24.6 ,24.6 ,19.2 ,曲がり
4 ,4,15.8 ,16.1 ,15.0 ,
5 ,1,20.9 ,21.8 ,16.9 ,
8 ,4,21.6 ,21.6 ,17.9 ,
9 ,1,22.0 ,22.7 ,19.0 ,
10 ,1,27.9 ,29.8 ,18.4 ,
12 ,2c,23.9 ,24.0 ,17.7 ,
13 ,1,25.0 ,26.3 ,18.7 ,
14 ,1,17.9 ,17.6 ,18.5 ,
15 ,4,18.4 ,18.5 ,18.0 ,
16 ,2c,20.0 ,20.6 ,18.1 ,
18 ,1,26.0 ,29.8 ,18.6 ,
19 ,1,32.0 ,32.1 ,19.8 ,
20 ,4,19.2 ,18.3 ,17.4 ,
22 ,1,24.8 ,25.1 ,18.1 ,
23 ,1,23.8 ,25.7 ,17.6 ,
25 ,1,20.2 ,20.0 ,18.3 ,
26 ,1,29.2 ,28.0 ,19.4 ,
28 ,4,13.6 ,14.3 ,16.2 ,枯れかけ
30 ,1,18.7 ,19.5 ,17.7 ,
31 ,1,26.2 ,27.3 ,19.3 ,
32 ,4,12.7 ,13.6 ,15.3 ,枯れかけ
33 ,1,23.5 ,24.7 ,18.2 ,
34 ,1,20.1 ,20.4 ,19.0 ,
35 ,1,21.1 ,20.0 ,16.8 ,
36 ,1,29.1 ,29.4 ,18.7 ,
38 ,3,15.1 ,15.7 ,15.4 ,
40 ,1,27.5 ,28.7 ,16.3 ,
41 ,2a,26.7 ,26.5 ,17.3 ,先折れ(主は16.8)
42 ,1,18.6 ,20.7 ,17.2 ,
45 ,1,23.1 ,24.3 ,17.3 ,
46 ,1,23.7 ,24.3 ,18.7 ,
47 ,1,22.1 ,22.7 ,17.8 ,
48 ,3,15.2 ,15.2 ,16.8 ,
49 ,1,19.7 ,19.1 ,16.6 ,斜立
50 ,1,20.3 ,20.8 ,16.8 ,
51 ,3,16.5 ,17.0 ,16.2 ,
52 ,5,13.3 ,13.2 ,12.7 ,枯れ
54 ,1,20.9 ,21.5 ,15.2 ,
55 ,1,24.4 ,24.8 ,16.5 ,
56 ,4,15.4 ,16.4 ,14.7 ,曲がり
57 ,4,16.7 ,17.1 ,14.6 ,曲がり　先折れ
59 ,4,15.7 ,16.9 ,14.1 ,
60 ,1,22.1 ,23.4 ,17.4 ,
61 ,4,14.2 ,14.4 ,14.8 ,曲がり　二又
62 ,5,11.3 ,12.0 ,12.8 ,枯れ　先折
63 ,1,21.7 ,21.8 ,16.4 ,
65 ,1,26.2 ,26.1 ,17.3 ,
68 ,1,21.9 ,23.0 ,16.8 ,
70 ,5,13.2 ,13.8 ,14.2 ,曲がり　枯れ
71 ,3,21.7 ,22.6 ,16.6 ,曲がり　二又
72 ,4,14.5 ,15.6 ,14.8 ,
73 ,1,25.7 ,27.1 ,16.1 ,
76 ,1,30.4 ,28.1 ,18.3 ,
77 ,1,29.8 ,29.4 ,17.3 ,
79 ,2c,16.7 ,17.7 ,16.2 ,
81 ,1,23.4 ,23.5 ,17.3 ,
82 ,4,12.9 ,13.9 ,15.2 ,二又
83 ,1,23.6 ,24.9 ,17.3 ,
85 ,1,24.5 ,24.0 ,17.5 ,
86 ,1,17.4 ,18.7 ,16.7 ,
87 ,1,23.8 ,23.8 ,17.3 ,
88 ,1,23.4 ,24.4 ,17.1 ,
89 ,4,15.6 ,16.1 ,15.2 ,先折れ
95 ,1,26.9 ,26.2 ,17.9 ,
98 ,5,13.8 ,13.8 ,13.3 ,枯れ
99 ,1,25.2 ,25.9 ,17.0 ,
100 ,4,15.9 ,16.5 ,16.1 ,
101 ,1,33.0 ,34.3 ,19.5 ,
103 ,1,24.5 ,23.7 ,18.5 ,
106 ,1,26.0 ,27.8 ,17.4 ,
107 ,3,19.1 ,19.5 ,16.4 ,曲がり
109 ,1,23.2 ,21.3 ,17.0 ,
110 ,1,21.3 ,21.5 ,16.7 ,
111 ,1,29.8 ,32.0 ,18.5 ,
113 ,1,26.3 ,27.0 ,16.2 ,
114 ,3,15.5 ,16.0 ,15.8 ,先折れ
118 ,3,21.9 ,23.7 ,16.0 ,
120 ,1,30.4 ,30.9 ,17.0 ,
123 ,4,13.1 ,12.8 ,13.8 ,枯れかけ
124 ,1,26.7 ,27.5 ,16.4 ,
126 ,1,27.8 ,27.3 ,17.6 ,
128 ,1,26.4 ,27.6 ,14.8 ,
129 ,1,26.5 ,27.3 ,15.9 ,
130 ,2d,18.9 ,18.7 ,17.1 ,二又
131 ,1,24.8 ,26.2 ,17.6 ,
134 ,1,28.0 ,29.8 ,19.4 ,
135 ,1,22.3 ,22.7 ,16.5 ,
136 ,1,26.4 ,26.9 ,18.2 ,
137 ,1,21.5 ,23.4 ,17.5 ,
138 ,2d,20.6 ,21.5 ,18.0 ,二又
140 ,1,19.7 ,19.9 ,17.4 ,
142 ,4,15.8 ,16.8 ,16.5 ,
143 ,1,23.7 ,24.5 ,17.9 ,
144 ,1,21.2 ,23.7 ,18.0 ,
145 ,1,32.6 ,31.3 ,19.7 ,先折れ
146 ,1,24.6 ,25.1 ,18.1 ,
148 ,1,26.1 ,25.2 ,18.6 ,
149 ,2b,16.1 ,16.8 ,16.9 ,曲がり
150 ,1,21.7 ,21.6 ,18.1 ,
153 ,1,26.8 ,28.0 ,18.8 ,
154 ,1,22.4 ,23.2 ,18.0 ,
156 ,1,23.7 ,24.7 ,17.2 ,
158 ,1,25.5 ,24.8 ,18.1 ,
161 ,1,27.4 ,27.1 ,18.3 ,
162 ,2c,18.8 ,18.0 ,17.4 ,枯れかけ
164 ,1,23.7 ,24.5 ,18.0 ,
165 ,1,23.8 ,24.6 ,17.1 ,曲がり
169 ,1,30.4 ,32.3 ,18.6 ,
170 ,2d,17.2 ,18.5 ,16.5 ,曲がり
171 ,2d,21.0 ,18.2 ,16.1 ,曲がり　測定位置にコブ
173 ,2c,16.9 ,19.5 ,17.2 ,
175 ,1,20.5 ,21.9 ,17.7 ,
176 ,2d,17.4 ,18.0 ,17.6 ,二又
180 ,1,28.1 ,29.0 ,17.4 ,
181 ,1,25.4 ,25.3 ,18.4 ,
182 ,1,28.7 ,28.0 ,18.2 ,
183 ,2b,25.6 ,26.6 ,17.3 ,
186 ,1,32.0 ,33.9 ,17.1 ,
187 ,2e,23.2 ,28.6 ,,曲がり　倒伏しかけ
189 ,5,,,,枯　倒伏　危険なので測定しない
190 ,2d,19.5 ,19.3 ,16.3 ,二又
191 ,1,26.7 ,27.7 ,17.6 ,
193 ,1,28.3 ,29.3 ,18.8 ,
194 ,1,22.0 ,21.8 ,17.2 ,
196 ,2d,20.8 ,24.9 ,17.1 ,曲がり
198 ,2e,19.4 ,21.2 ,18.5 ,根元くされ　曲がり　二又　斜立
200 ,3,18.4 ,20.3 ,15.3 ,
205 ,3,20.6 ,22.4 ,16.6 ,
207 ,3,18.8 ,20.5 ,15.0 ,先折れ
209 ,1,19.4 ,19.3 ,17.0 ,
210 ,1,28.3 ,29.2 ,19.1 ,
211 ,1,20.7 ,20.4 ,18.0 ,
212 ,1,22.1 ,24.2 ,17.0 ,
216 ,1,29.6 ,30.3 ,18.9 ,
217 ,5,11.4 ,11.7 ,14.2 ,枯れ
220 ,1,31.0 ,33.6 ,18.3 ,
221 ,5,14.2 ,14.8 ,14.7 ,枯れ
223 ,1,26.2 ,28.4 ,17.6 ,
224 ,1,24.0 ,23.7 ,18.0 ,
225 ,1,20.0 ,18.8 ,16.9 ,
228 ,1,29.6 ,30.0 ,18.3 ,
229 ,2c,18.3 ,20.0 ,14.7 ,
230 ,1,16.3 ,17.6 ,15.6 ,
232 ,1,18.9 ,20.3 ,16.7 ,
233 ,5,14.0 ,15.6 ,15.0 ,枯れ
234 ,2d,15.3 ,16.1 ,15.2 ,二又
235 ,1,25.3 ,27.0 ,16.5 ,
236 ,2c,16.9 ,16.1 ,15.3 ,
237 ,1,21.3 ,21.9 ,16.0 ,
238 ,3,13.6 ,15.4 ,14.8 ,
239 ,1,24.1 ,25.5 ,17.6 ,
240 ,1,24.1 ,23.6 ,16.5 ,
241 ,1,21.7 ,22.5 ,16.3 ,
242 ,2d,19.0 ,18.8 ,18.0 ,曲がり　隣接木と接触
243 ,1,21.0 ,21.8 ,17.2 ,　
244 ,1,18.2 ,18.9 ,17.7 ,
245 ,3,15.8 ,16.9 ,17.0 ,
246 ,4,11.5 ,12.5 ,14.5 ,
248 ,5,11.6 ,12.5 ,10.6 ,枯れ　斜立
249 ,4,11.8 ,12.5 ,13.2 ,枯れかけ
252 ,1,24.8 ,26.7 ,16.9 ,
257 ,2d,20.3 ,20.3 ,16.0 ,二又
259 ,1,21.7 ,23.2 ,16.2 ,
260 ,1,25.4 ,29.4 ,16.0 ,
262 ,1,27.3 ,28.2 ,16.2 ,
264 ,4,16.1 ,15.7 ,14.9 ,二又
266 ,4,16.5 ,18.3 ,13.5 ,二又
267 ,1,28.7 ,31.2 ,18.0 ,
268 ,1,21.0 ,21.3 ,18.0 ,
270 ,1,25.5 ,25.2 ,17.1 ,
272 ,3,26.1 ,27.8 ,16.6 ,
273 ,2d,28.6 ,28.6 ,18.3 ,斜立
275 ,1,21.5 ,22.4 ,17.0 ,
276 ,4,14.7 ,15.4 ,13.3 ,
279 ,1,27.8 ,27.3 ,17.9 ,
281 ,4,17.2 ,17.9 ,15.8 ,
283 ,3,19.0 ,20.4 ,15.4 ,曲がり
284 ,1,26.2 ,27.3 ,18.0 ,
285 ,1,25.6 ,27.6 ,18.0 ,
286 ,1,23.9 ,26.4 ,17.7 ,
288 ,5,13.0 ,12.9 ,13.6 ,枯れ
289 ,1,28.3 ,29.5 ,17.9 ,
291 ,1,23.1 ,23.0 ,17.7 ,
292 ,4,14.7 ,15.2 ,13.7 ,枯れかけ
293 ,1,23.7 ,24.8 ,17.2 ,
295 ,1,20.1 ,19.9 ,17.3 ,
296 ,1,20.1 ,21.0 ,17.7 ,
297 ,1,24.2 ,24.0 ,17.6 ,
298 ,4,17.2 ,18.4 ,13.4 ,先折れ
299 ,1,26.8 ,28.0 ,17.6 ,
300 ,3,14.7 ,14.9 ,14.6 ,
