樹木番号,樹型級,直径1,直径2,樹高,コメント
1 ,2e,25.5 ,24.9 ,17.6 ,
2 ,2c,19.5 ,19.8 ,15.0 ,
4 ,2d,18.5 ,18.5 ,14.9 ,斜立木
5 ,2d,16.2 ,16.4 ,15.4 ,斜立木
7 ,1,17.4 ,17.8 ,18.0 ,
8 ,1,19.5 ,21.4 ,18.3 ,
9 ,1,24.9 ,27.1 ,19.1 ,
10 ,5,22.0 ,22.0 ,,倒れ　枯死
14 ,1,20.3 ,21.3 ,18.4 ,曲がり
15 ,1,20.6 ,20.9 ,18.9 ,
16 ,1,22.5 ,25.5 ,20.5 ,
19 ,5,15.4 ,16.1 ,15.9 ,立枯
20 ,1,19.5 ,21.0 ,18.8 ,
21 ,2d,14.6 ,13.9 ,19.2 ,
22 ,1,18.9 ,21.2 ,19.2 ,
24 ,1,24.2 ,24.8 ,20.0 ,
25 ,1,23.1 ,22.8 ,18.1 ,
26 ,1,19.7 ,22.5 ,18.4 ,
27 ,1,24.1 ,25.8 ,20.2 ,
28 ,1,25.3 ,27.5 ,19.1 ,
29 ,1,21.4 ,22.3 ,19.2 ,
30 ,1,22.2 ,23.9 ,18.6 ,
35 ,1,20.8 ,21.0 ,20.9 ,
36 ,1,26.6 ,26.9 ,22.8 ,
37 ,1,30.0 ,32.5 ,22.3 ,
39 ,1,18.4 ,20.1 ,20.1 ,
40 ,5,14.5 ,14.5 ,,立枯
42 ,1,28.0 ,28.9 ,19.4 ,
46 ,3,20.9 ,21.0 ,18.1 ,
47 ,1,25.6 ,25.4 ,20.4 ,
48 ,1,21.4 ,23.2 ,21.2 ,
49 ,1,23.0 ,23.4 ,20.9 ,
50 ,4,15.1 ,15.3 ,18.4 ,枯れかけ
54 ,1,41.3 ,42.1 ,23.0 ,
55 ,1,21.3 ,22.5 ,20.5 ,
56 ,2b,16.9 ,17.4 ,19.5 ,
57 ,1,26.3 ,26.9 ,20.3 ,
58 ,5,16.3 ,16.2 ,,枯
60 ,1,20.8 ,21.6 ,19.9 ,
63 ,1,20.3 ,21.4 ,19.0 ,
65 ,1,21.2 ,22.4 ,18.6 ,
66 ,5,12.9 ,13.1 ,,枯
67 ,1,17.9 ,20.2 ,18.9 ,
69 ,1,24.8 ,26.3 ,19.2 ,
71 ,1,24.3 ,25.7 ,19.4 ,
72 ,2d,15.2 ,15.5 ,18.1 ,こぶ　曲がり
74 ,1,19.8 ,20.5 ,19.1 ,
77 ,1,23.4 ,24.8 ,18.7 ,
78 ,2b,15.7 ,15.3 ,17.6 ,
80 ,1,21.2 ,23.5 ,17.4 ,
81 ,2b,19.4 ,19.5 ,16.6 ,
82 ,1,25.8 ,27.4 ,18.6 ,
83 ,1,20.8 ,23.1 ,18.2 ,
84 ,1,20.3 ,21.1 ,17.2 ,
85 ,1,19.9 ,20.3 ,17.4 ,
86 ,1,22.9 ,23.8 ,17.6 ,
87 ,4,16.1 ,15.6 ,15.4 ,
89 ,1,22.5 ,22.4 ,17.5 ,
90 ,1,24.6 ,23.8 ,18.1 ,
92 ,2d,16.5 ,17.0 ,16.1 ,曲がり
94 ,1,26.4 ,29.0 ,18.1 ,
95 ,1,25.0 ,27.0 ,19.0 ,
97 ,1,27.1 ,27.1 ,18.3 ,
98 ,4,15.4 ,16.5 ,14.4 ,枯れかけ
99 ,1,25.3 ,25.8 ,18.1 ,
101 ,5,14.2 ,14.1 ,,枯
102 ,2,20.8 ,21.9 ,18.7 ,
103 ,2b,19.5 ,19.4 ,17.2 ,
105 ,1,19.1 ,19.4 ,18.9 ,
106 ,1,29.2 ,32.5 ,19.8 ,
108 ,1,20.3 ,21.6 ,18.8 ,
109 ,1,21.8 ,22.5 ,18.6 ,
110 ,1,22.0 ,22.9 ,18.5 ,
112 ,1,26.7 ,28.3 ,20.8 ,
114 ,1,19.7 ,21.3 ,18.8 ,
116 ,1,22.2 ,25.3 ,19.4 ,
117 ,1,24.2 ,24.6 ,19.2 ,
118 ,1,19.8 ,19.6 ,18.0 ,
120 ,1,19.0 ,18.8 ,18.0 ,
121 ,1,26.6 ,18.3 ,18.9 ,
122 ,1,23.0 ,26.5 ,19.6 ,
125 ,1,23.6 ,24.6 ,19.4 ,
126 ,1,20.6 ,20.9 ,19.3 ,
127 ,1,17.1 ,16.7 ,19.5 ,
128 ,1,25.0 ,24.7 ,20.7 ,
129 ,1,26.0 ,26.0 ,21.0 ,
130 ,1,17.3 ,18.5 ,19.3 ,
131 ,1,30.6 ,31.0 ,22.6 ,
132 ,1,24.5 ,24.0 ,19.7 ,
133 ,1,34.7 ,35.9 ,22.2 ,
134 ,4,12.7 ,12.6 ,17.0 ,枯れかけ
136 ,1,25.0 ,24.0 ,20.9 ,
137 ,1,29.9 ,29.4 ,21.1 ,
138 ,1,25.3 ,26.1 ,19.5 ,
139 ,1,27.8 ,29.6 ,21.5 ,
142 ,1,26.5 ,29.6 ,20.1 ,
143 ,1,24.3 ,27.0 ,20.9 ,
