樹木番号,直径,樹高,コメント
1,43.5,21.5,
3,34.6,19.2,
4,40.4,20.3,
5,37.2,17.4,
7,29.6,15.4,
9,36,18.3,
13,49.2,25.5,
14,33.6,17.9,
15,34.5,17.6,
16,28.5,14.5,枯れ
18,34.4,16.4,
21,33.8,15.8,
22,23.4,21.5,
25,50.3,19.2,
26,34.9,20.3,
29,34.5,17.4,
33,41.5,15.4,先折れ
34,39.9,18.3,
35,45.1,25.5,
26,43.5,17.9,
39,34.6,17.6,
40,40.4,14.5,
41,37.2,16.4,
42,29.6,15.8,
44,36,21.5,
45,49.2,19.2,
46,33.6,20.3,
48,34.5,17.4,
49,28.5,15.4,枯れ
51,34.4,18.3,
52,33.8,25.5,
54,23.4,17.9,
55,50.3,17.6,
56,34.9,14.5,
57,34.5,16.4,
59,41.5,15.8,
60,39.9,15.8,
